Category,AMC,Scheme Code,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Scheme Name,Plan,Option,Net Asset Value,Date
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142901,INF109KC1BG5,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan S,,,12.6417,03-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142902,INF109KC1BC4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan S,,,12.5117,03-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142900,INF109KC1BD2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan S,,,12.5117,03-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142965,INF109KC1BP6,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan U,,,12.5142,29-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142961,INF109KC1BS0,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan U,,,12.5657,29-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142964,INF109KC1BT8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan U,,,12.5657,29-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142963,INF109KC1BR2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan U,,,12.5142,29-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142982,INF109KC1BV4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V,,,12.4442,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142977,INF109KC1BY8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V,,,12.5240,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142975,INF109KC1CA6,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V,,,12.5240,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142976,INF109KC1BW2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V,,,12.4440,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142979,INF109KC1BX0,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V,,,12.4442,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142760,INF109KC1AJ1,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P,,,12.6916,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142762,INF109KC1AM5,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P,,,12.7905,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142764,INF109KC1AN3,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P,,,12.7904,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142761,INF109KC1AO1,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P,,,12.7903,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142759,INF109KC1AK9,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P,,,12.6915,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142763,INF109KC1AL7,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P,,,12.6916,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143144,INF109KC1CP4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1141 Days Plan Y,,,12.5888,10-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143145,INF109KC1CS8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1141 Days Plan Y,,,12.6238,10-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143149,INF109KC1CT6,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1141 Days Plan Y,,,12.6238,10-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143151,INF109KC1CQ2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1141 Days Plan Y,,,12.5887,10-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143150,INF109KC1CR0,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1141 Days Plan Y,,,12.5888,10-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142443,INF109KC1739,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1157 Days Plan J,,,12.6951,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142450,INF109KC1762,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1157 Days Plan J,,,12.8251,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142448,INF109KC1770,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1157 Days Plan J,,,12.8251,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142446,INF109KC1788,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1157 Days Plan J,,,12.8248,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142447,INF109KC1747,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1157 Days Plan J,,,12.6951,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142445,INF109KC1754,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1157 Days Plan J,,,12.6951,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142883,INF109KC1AV6,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R,,,12.5099,08-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142885,INF109KC1AY0,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R,,,12.5604,08-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142888,INF109KC1BA8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R,,,12.5604,08-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142882,INF109KC1AW4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R,,,12.5099,08-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142887,INF109KC1AX2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R,,,12.5099,08-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142692,INF109KC1AP8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q,,,12.5668,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142698,INF109KC1AS2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q,,,12.6531,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142697,INF109KC1AT0,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q,,,12.6530,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142696,INF109KC1AU8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q,,,12.6531,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142699,INF109KC1AQ6,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q,,,12.5668,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142695,INF109KC1AR4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1175 Days Plan Q,,,12.5668,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142413,INF109KC1671,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan I,,,12.6344,05-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142412,INF109KC1705,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan I,,,12.6865,05-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142581,INF109KC1994,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan N,,,12.5961,04-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142582,INF109KC1AC6,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan N,,,12.6671,04-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142588,INF109KC1AD4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan N,,,12.6671,04-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142586,INF109KC1AE2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan N,,,12.6638,04-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142587,INF109KC1AA0,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan N,,,12.5961,04-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142585,INF109KC1AB8,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan N,,,12.5961,04-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142298,INF109KC1374,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Plan F,,,12.7884,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142299,INF109KC1408,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Plan F,,,12.9109,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142294,INF109KC1424,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Plan F,,,12.9109,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142295,INF109KC1382,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Plan F,,,12.7883,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142297,INF109KC1390,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Plan F,,,12.7884,30-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142477,INF109KC1879,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1199 Days Plan L,,,12.6626,03-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142478,INF109KC1903,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1199 Days Plan L,,,12.7141,03-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142483,INF109KC1911,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1199 Days Plan L,,,12.7134,03-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142481,INF109KC1887,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1199 Days Plan L,,,12.6627,03-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142463,INF109KC1812,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1203 Days Plan K,,,12.6555,01-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142465,INF109KC1846,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1203 Days Plan K,,,12.7054,01-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142468,INF109KC1861,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1203 Days Plan K,,,12.7054,01-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142469,INF109KC1820,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1203 Days Plan K,,,12.6557,01-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142467,INF109KC1838,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1203 Days Plan K,,,12.6554,01-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142334,INF109KC1499,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H,,,12.6981,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142339,INF109KC1523,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H,,,12.7501,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142341,INF109KC1531,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H,,,12.7500,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142336,INF109KC1549,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H,,,12.7503,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142337,INF109KC1507,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H,,,12.6980,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142340,INF109KC1515,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H,,,12.6982,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142155,INF109KC1119,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1217 Days Plan C,,,12.6114,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142156,INF109KC1143,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1217 Days Plan C,,,12.6811,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142162,INF109KC1150,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1217 Days Plan C,,,12.6784,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142159,INF109KC1168,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1217 Days Plan C,,,12.6811,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142158,INF109KC1127,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1217 Days Plan C,,,12.6113,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142161,INF109KC1135,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1217 Days Plan C,,,12.6114,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142233,INF109KC1176,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D,,,12.6582,14-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142234,INF109KC1200,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D,,,12.7258,14-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142237,INF109KC1226,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D,,,12.7258,14-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142236,INF109KC1184,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D,,,12.6499,14-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142238,INF109KC1192,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D,,,12.6582,14-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142267,INF109KC1275,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E,,,12.6311,24-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142266,INF109KC1309,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E,,,12.6987,24-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142262,INF109KC1317,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E,,,12.6988,24-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142265,INF109KC1325,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E,,,12.6987,24-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142261,INF109KC1283,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E,,,12.6307,24-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142264,INF109KC1291,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E,,,12.6311,24-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142352,INF109KC1432,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G,,,12.6569,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142357,INF109KC1465,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G,,,12.7102,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142359,INF109KC1473,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G,,,12.7102,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142358,INF109KC1440,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G,,,12.6569,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142355,INF109KC1457,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G,,,12.6566,31-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142125,INF109KC1010,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1225 Days Plan B,,,12.6337,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142126,INF109KC1044,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1225 Days Plan B,,,12.7025,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142132,INF109KC1069,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1225 Days Plan B,,,12.7028,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142129,INF109KC1051,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1225 Days Plan B,,,12.7022,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142131,INF109KC1036,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1225 Days Plan B,,,12.6337,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142130,INF109KC1028,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1225 Days Plan B,,,12.6336,04-May-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142017,INF109KB10Z5,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1236 Days Plan A,,,12.6338,26-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142020,INF109KB13Z9,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1236 Days Plan A,,,12.6677,26-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142070,INF109KB14Z7,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1236 Days Plan A,,,12.6676,26-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142068,INF109KB15Z4,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1236 Days Plan A,,,12.6667,26-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142069,INF109KB11Z3,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1236 Days Plan A,,,12.6335,26-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,142067,INF109KB12Z1,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 1236 Days Plan A,,,12.6338,26-Apr-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143386,INF109KC1DM9,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 91 Days Plan Z,,,10.1971,23-Aug-2018
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143387,INF109KC1DO5,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 91 Days Plan Z,,,10.203,23-Aug-2018
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143384,INF109KC1DP2,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 91 Days Plan Z,,,10.203,23-Aug-2018
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143385,INF109KC1DN7,-,ICICI Prudential Fixed Maturity Plan - Series 82 - 91 Days Plan Z,,,10.1971,23-Aug-2018
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144072,INF109KC1HG2,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan O,,,12.5505,08-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144065,INF109KC1HJ6,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan O,,,12.6641,08-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144301,INF109KC1HU3,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan R,,,12.5706,22-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144302,INF109KC1HX7,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan R,,,12.6552,22-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144308,INF109KC1HV1,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan R,,,12.5732,22-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144380,INF109KC1IA3,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan S,,,12.3502,05-Aug-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144376,INF109KC1ID7,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan S,,,12.4403,05-Aug-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144378,INF109KC1IE5,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan S,,,12.4361,05-Aug-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144379,INF109KC1IC9,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan S,,,12.3502,05-Aug-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144377,INF109KC1IB1,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan S,,,12.3502,05-Aug-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144602,INF109KC1JL8,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X,,,12.5918,03-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144603,INF109KC1JO2,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X,,,12.7088,03-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144605,INF109KC1JQ7,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X,,,12.7088,03-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144606,INF109KC1JP9,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X,,,12.7088,03-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144607,INF109KC1JN4,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X,,,12.5918,03-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144604,INF109KC1JM6,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan X,,,12.5918,03-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144696,INF109KC1JX3,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z,,,12.6190,15-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144697,INF109KC1KA9,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z,,,12.7019,15-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144700,INF109KC1KC5,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z,,,12.7019,15-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144701,INF109KC1KB7,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z,,,12.7032,15-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144699,INF109KC1JZ8,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z,,,12.6188,15-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,144698,INF109KC1JY1,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1101 Days Plan Z,,,12.6190,15-Sep-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143877,INF109KC1FY9,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1103 Days Plan L,,,12.6852,28-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143878,INF109KC1GB5,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1103 Days Plan L,,,12.6971,28-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143376,INF109KC1DA4,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A,,,12.5336,02-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143380,INF109KC1DD8,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A,,,12.6481,02-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143379,INF109KC1DF3,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A,,,12.6481,02-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143381,INF109KC1DE6,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A,,,12.6481,02-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143377,INF109KC1DC0,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A,,,12.5339,02-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143382,INF109KC1DB2,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan A,,,12.5336,02-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143524,INF109KC1EO3,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan F,,,12.5639,16-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143520,INF109KC1ER6,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan F,,,12.6774,16-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143521,INF109KC1ET2,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan F,,,12.6774,16-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143527,INF109KC1EQ8,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan F,,,12.5580,16-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143523,INF109KC1EP0,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan F,,,12.5639,16-Jun-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143953,INF109KC1GK6,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan M,,,12.5684,22-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143954,INF109KC1GN0,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan M,,,12.6725,22-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143956,INF109KC1GM2,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan M,,,12.5684,22-Jul-2021
Close Ended Schemes(Income),ICICI Prudential Mutual Fund,143960,INF109KC1GL4,-,ICICI Prudential Fixed Maturity Plan - Series 83 - 1105 Days Plan M,,,12.5684,22-Jul-2021
