Date,Open,High,Low,Close,Adj_Close,Volume,Percent_Change,Adj_Percent_Change,Intraday_Range_%,Gap_%,Year,Month,Quarter,Month_Name
2012-11-01,57.267478942871094,0.0,0.0,59.6297492980957,59.6297492980957,0,4.667195998327633,4.667195998327633,0.0,0.5207386145259357,2012,11,4,November
2012-12-01,59.53749084472656,0.0,0.0,59.888851165771484,59.888851165771484,0,0.43451778805996266,0.43451778805996266,0.0,-0.15471883490224053,2012,12,4,December
2013-01-01,60.351661682128906,0.0,0.0,61.1870002746582,61.1870002746582,0,2.1675972799903187,2.1675972799903187,0.0,0.7727824250232634,2013,1,1,January
2013-02-01,60.822940826416016,0.0,0.0,57.73102951049805,57.73102951049805,0,-5.648210810542897,-5.648210810542897,0.0,-0.5949947645872253,2013,2,1,February
2013-03-01,58.016109466552734,0.0,0.0,56.941429138183594,56.941429138183594,0,-1.3677226597368586,-1.3677226597368586,0.0,0.4938071579043076,2013,3,1,March
2013-04-01,57.15719985961914,0.0,0.0,59.39617919921875,59.39617919921875,0,4.311008870321897,4.311008870321897,0.0,0.3789345028764936,2013,4,2,April
2013-05-01,60.085941314697266,0.0,0.0,60.214481353759766,60.214481353759766,0,1.3777016730257552,1.3777016730257552,0.0,1.1612903805899828,2013,5,2,May
2013-06-01,59.74551010131836,59.099998474121094,56.0099983215332,58.96799850463867,58.96799850463867,2985360,-2.0700715527183777,-2.0700715527183777,5.240130631777876,-0.778834662190649,2013,6,2,June
2013-07-01,58.900001525878906,61.349998474121094,57.499000549316406,58.124000549316406,58.124000549316406,8941770,-1.4312813334776409,-1.4312813334776409,6.625486698110594,-0.11531166138260009,2013,7,3,July
2013-08-01,58.20000076293945,60.099998474121094,51.93299865722656,55.08000183105469,55.08000183105469,12545470,-5.23707709292821,-5.23707709292821,14.827522776678432,0.13075530401346525,2013,8,3,August
2013-09-01,55.31999969482422,61.96500015258789,53.900001525878906,58.2239990234375,58.2239990234375,12662450,5.7080557150784195,5.7080557150784195,13.851674158386986,0.435725954595408,2013,9,3,September
2013-10-01,57.5,63.69499969482422,57.099998474121094,63.59199905395508,63.59199905395508,10944710,9.219566021833604,9.219566021833604,10.37080343253174,-1.2434718253311,2013,10,4,October
2013-11-01,63.5,64.33699798583984,60.400001525878906,62.41999816894531,62.41999816894531,6965800,-1.8430005385038695,-1.8430005385038695,6.307267823534862,-0.14467080029520835,2013,11,4,November
2013-12-01,62.516998291015625,70.0,62.0,63.75299835205078,63.75299835205078,6885460,2.135533838846948,2.135533838846948,12.548429417896797,0.1553991107269388,2013,12,4,December
2014-01-01,63.599998474121094,64.39900207519531,61.150001525878906,61.7239990234375,61.7239990234375,5087540,-3.182594358007973,-3.182594358007973,5.263755752576422,-0.2399885211434387,2014,1,1,January
2014-02-01,61.67499923706055,66.3550033569336,58.6150016784668,63.441001892089844,63.441001892089844,3888090,2.7817427513087356,2.7817427513087356,12.200314382853183,-0.07938530742045277,2014,2,1,February
2014-03-01,63.39699935913086,67.5999984741211,62.80099868774414,67.0,67.0,7274830,5.609933641911646,5.609933641911646,7.16268624832381,-0.06935976993842344,2014,3,1,March
2014-04-01,67.03299713134766,69.28800201416016,66.53700256347656,67.27899932861328,67.27899932861328,5142830,0.4164169083780367,0.4164169083780367,4.088942282341011,0.049249449772621266,2014,4,2,April
2014-05-01,67.56999969482422,76.10199737548828,66.5989990234375,72.375,72.375,36587000,7.5744299443220475,7.5744299443220475,13.130222248083982,0.43252778595828056,2014,5,2,May
2014-06-01,72.71600341796875,78.5999984741211,72.03500366210938,76.46700286865234,76.46700286865234,7450330,5.653889973958326,5.653889973958326,8.585395746827471,0.4711618901122625,2014,6,2,June
2014-07-01,76.5,78.9000015258789,74.51000213623047,78.01399993896484,78.01399993896484,11601160,2.023091022633361,2.023091022633361,5.627194340865747,0.043152118050625764,2014,7,3,July
2014-08-01,77.75,80.69999694824219,76.32099914550781,80.61199951171875,80.61199951171875,5546050,3.3301709626303966,3.3301709626303966,5.432191025230418,-0.33840072188502984,2014,8,3,August
2014-09-01,80.80000305175781,82.6989974975586,79.59500122070312,80.71800231933594,80.71800231933594,8104580,0.13149755403569774,0.13149755403569774,3.845482033333113,0.23322029124427315,2014,9,3,September
2014-10-01,80.6500015258789,84.19499969482422,78.40499877929688,84.11499786376953,84.11499786376953,6864870,4.208473261013612,4.208473261013612,6.883434657996043,-0.0842448914778726,2014,10,4,October
2014-11-01,84.5,90.95999908447266,84.0,86.93099975585938,86.93099975585938,5163120,3.347799992399181,3.347799992399181,8.006348833004804,0.4577092623291844,2014,11,4,November
2014-12-01,86.91999816894531,87.0999984741211,80.72100067138672,83.87699890136719,83.87699890136719,9130870,-3.5131320967999535,-3.5131320967999535,7.605181260998119,-0.01265553938751402,2014,12,4,December
2015-01-01,83.8499984741211,90.80000305175781,80.41000366210938,89.48200225830078,89.48200225830078,11494990,6.682408086064973,6.682408086064973,11.611272800597854,-0.03219050228280598,2015,1,1,January
